LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Lucas Erceg,668674,R,SI,2023,114,-0.36,96.4,-1.9,6.6,6.2,-16.4,30.3,-19.6,-15.0,11.6,19.0,-17.9,1758,-3.2,-3.1,50.4,52.3
AAA,Lucas Gilbreath,656458,L,FF,2022,49,-3.45,93.0,-1.1,6.3,5.8,1.0,25.3,-20.7,1.0,11.2,11.6,-20.0,2308,1.4,-0.1,47.4,50.6
AAA,Lucas Gilbreath,656458,L,FF,2024,78,1.1,92.4,-2.0,6.1,5.7,-2.3,24.9,-19.9,-2.3,12.4,12.6,-19.9,2239,2.8,0.9,47.4,50.5
AAA,Lucas Jacobsen,670437,L,FF,2023,115,-2.04,94.5,-1.3,6.2,6.3,-5.4,27.0,-17.7,-5.2,13.6,15.2,-17.1,2296,2.5,1.1,50.4,47.8
AAA,Lucas Jacobsen,670437,L,SI,2022,28,4.29,94.2,-1.3,6.1,6.3,-14.9,29.2,-19.0,-14.4,12.8,19.3,-18.4,2273,-3.1,-2.7,39.6,50.8
AAA,Lucas Jacobsen,670437,L,SI,2023,134,3.75,94.4,-1.3,6.2,6.3,-14.4,28.4,-19.6,-13.7,12.0,18.3,-19.0,2273,-4.3,-3.6,39.3,46.6
AAA,Lucas Knowles,686731,L,FF,2023,45,-3.11,90.5,-1.6,5.8,5.9,-6.6,26.3,-17.6,-6.8,15.5,17.0,-18.5,2072,3.3,1.9,50.4,48.5
AAA,Luis Cessa,570666,R,FF,2023,206,-0.12,91.8,-0.8,5.5,6.1,-7.8,27.0,-19.5,-8.0,13.2,15.2,-20.2,2164,1.2,0.8,39.2,39.8
AAA,Luis Cessa,570666,R,FF,2024,424,-2.16,91.4,-0.9,5.4,6.1,-8.8,26.8,-18.6,-9.1,14.2,17.0,-19.4,2176,1.9,1.5,43.2,47.0
AAA,Luis Cessa,570666,R,SI,2023,112,-4.69,91.6,-0.8,5.5,6.1,-13.0,26.4,-23.2,-13.4,9.1,17.0,-23.8,2121,-3.8,-3.8,38.1,41.3
AAA,Luis Cessa,570666,R,SI,2024,146,-0.68,91.8,-0.7,5.4,6.1,-13.4,27.1,-23.0,-13.9,9.6,17.6,-24.0,2181,-2.7,-3.0,35.1,38.1
AAA,Luis Contreras,664351,R,FF,2023,490,1.28,90.8,-2.6,7.2,5.2,-0.8,26.8,-15.0,-0.8,17.2,17.3,-15.0,2443,3.5,0.5,60.5,51.5
AAA,Luis Contreras,664351,R,FF,2024,365,1.28,92.2,-2.4,7.0,5.3,-1.9,27.8,-14.2,-1.8,17.5,17.7,-13.9,2533,3.3,0.6,60.6,57.8
AAA,Luis F. Ortiz,656814,R,FF,2022,357,1.19,94.9,-2.2,5.8,6.1,-10.3,29.2,-18.6,-10.0,13.0,16.5,-17.8,2132,2.1,1.9,52.4,43.9
AAA,Luis F. Ortiz,656814,R,FF,2023,114,0.35,95.5,-2.3,5.7,6.3,-11.8,30.9,-19.3,-11.4,12.3,16.6,-18.6,2036,2.5,3.0,50.1,48.6
AAA,Luis F. Ortiz,656814,R,SI,2022,215,0.93,93.9,-2.2,5.8,6.1,-15.8,29.2,-25.6,-15.8,6.5,17.2,-25.1,2089,-2.7,-4.4,42.2,42.0
AAA,Luis F. Ortiz,656814,R,SI,2023,282,0.4,94.2,-2.3,5.8,6.1,-17.5,30.4,-26.5,-17.2,5.6,18.2,-26.2,1992,-2.3,-5.0,44.0,43.4
AAA,Luis Frías,666818,R,FF,2022,462,-1.8,96.1,-1.4,6.2,6.6,-3.1,28.4,-15.2,-2.9,15.6,16.0,-13.9,2272,2.8,0.7,56.9,46.4
AAA,Luis Frías,666818,R,FF,2023,166,1.78,96.8,-1.1,6.2,6.3,-6.5,29.6,-15.9,-5.9,14.9,16.1,-14.3,2299,2.5,1.2,54.3,51.5
AAA,Luis Frías,666818,R,FF,2024,81,2.64,95.2,-1.9,6.5,6.5,-4.9,28.6,-15.2,-4.4,15.6,16.8,-14.1,2199,3.4,1.4,55.5,52.3
