LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Ricky Karcher,676689,R,SL,2023,409,0.1,87.0,-2.4,5.9,6.2,7.4,24.5,-31.2,8.4,1.1,9.1,-35.6,2709,0.6,4.3,47.4,60.4
AAA,Ricky Karcher,676689,R,SL,2024,86,-3.45,87.7,-2.3,5.9,6.1,5.9,23.2,-31.5,6.5,0.8,6.8,-35.3,2729,0.4,3.0,47.6,54.1
AAA,Ricky Tiedemann,694357,L,CH,2024,25,-0.08,84.4,-2.8,6.2,5.5,-15.1,24.2,-31.4,-18.4,1.0,18.7,-37.5,1979,-0.6,-3.9,46.2,37.3
AAA,Ricky Tiedemann,694357,L,ST,2023,27,7.93,82.5,-3.1,6.2,5.3,5.5,22.1,-28.1,6.8,5.4,9.2,-34.4,2599,-0.4,2.9,49.8,57.3
AAA,Ricky Tiedemann,694357,L,ST,2024,68,-2.0,81.2,-3.0,6.3,5.6,8.5,23.4,-29.1,11.3,4.0,12.0,-37.7,2571,-0.0,8.0,47.5,56.3
AAA,Ricky Vanasco,676568,R,CU,2023,23,-0.04,85.7,-1.5,6.3,5.9,2.0,23.1,-42.4,2.3,-11.6,11.9,-48.5,2216,-1.0,-0.1,46.5,45.0
AAA,Ricky Vanasco,676568,R,CU,2024,157,-3.82,84.1,-1.8,6.6,5.8,2.9,24.0,-41.5,3.5,-11.0,12.0,-49.6,2287,-0.9,-0.3,48.8,47.6
AAA,Ricky Vanasco,676568,R,FC,2024,61,-1.57,92.1,-1.9,6.9,5.7,0.0,27.3,-21.3,0.0,10.4,10.6,-21.0,2211,4.8,1.2,55.5,48.8
AAA,Ricky Vanasco,676568,R,SL,2024,46,-3.48,88.8,-1.7,6.6,5.8,1.2,24.9,-30.6,1.2,1.8,3.5,-32.6,2054,1.1,0.8,47.3,39.8
AAA,Rico Garcia,670329,R,CH,2023,127,0.62,85.7,-1.2,6.0,5.9,-10.2,24.0,-18.7,-11.9,15.8,19.8,-22.0,2150,0.5,0.4,40.5,44.9
AAA,Rico Garcia,670329,R,CH,2024,216,0.01,84.6,-1.4,6.1,5.7,-12.8,25.0,-20.4,-15.4,14.3,21.1,-24.4,2211,0.5,0.5,38.2,47.1
